#,title,releasedate,price,Score_rank,owners,playtime_median,developers,publishers
39,Super Mega Baseball 3,"May 13, 2020",$22.49,N/A (N/A/80%),"50,000 .. 100,000",00:00 (00:00),Metalhead Software Inc.,Electronic Arts
40,Lonely Mountains: Downhill,"Oct 23, 2019",$19.99,N/A (N/A/80%),"20,000 .. 50,000",00:00 (00:00),Megagon Industries,Thunderful Publishing
41,F1 2012,"Sep 17, 2012",$5.99,N/A (N/A/80%),"200,000 .. 500,000",00:00 (00:00),Codemasters,"Codemasters, Electronic Arts"
42,PRO EVOLUTION SOCCER 2019,"Aug 29, 2018",N/A,N/A (N/A/80%),"200,000 .. 500,000",03:32 (01:46),Konami Digital Entertainment,Konami Digital Entertainment
43,Knockout City,"May 21, 2021",$9.99,N/A (N/A/80%),"500,000 .. 1,000,000",00:00 (00:00),Velan Studios,Electronic Arts
44,Football Manager 2017,"Nov 3, 2016",N/A,N/A (N/A/80%),"2,000,000 .. 5,000,000",00:00 (00:00),Sports Interactive,SEGA
45,GRID 2,"Jul 1, 1989",N/A,N/A (N/A/80%),"5,000,000 .. 10,000,000",00:38 (00:25),Codemasters Racing,Codemasters
46,Fall Guys: Ultimate Knockout,"Aug 3, 2020",$19.99,N/A (N/A/80%),"10,000,000 .. 20,000,000",01:55 (01:24),Mediatonic,Hangover Cat Purrroduction
47,Frozen Cortex,"Feb 19, 2015",$24.99,N/A (N/A/79%),"20,000 .. 50,000",00:00 (00:00),Mode 7,Mode 7
48,TrackMania² Valley,"Jul 4, 2013",$19.99,N/A (N/A/79%),"100,000 .. 200,000",00:00 (00:00),Nadeo,Ubisoft
49,iRacing,"Jan 12, 2015",N/A,N/A (N/A/79%),"200,000 .. 500,000",00:00 (00:00),"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing"
50,Golf Club Wasteland,"Sep 3, 2021",$9.99,N/A (N/A/78%),"20,000 .. 50,000",00:00 (00:00),Demagog Studio,Untold Tales
51,OlliOlli,"Jul 22, 2014",$12.99,N/A (N/A/78%),"100,000 .. 200,000",00:00 (00:00),"Roll7, General Arcade",Devolver Digital
52,Laser League,"May 10, 2018",N/A,N/A (N/A/78%),"100,000 .. 200,000",00:00 (00:00),"Roll7, CE-Asia, 505 Games","CE-Asia, 505 Games"
53,GRID Autosport,"Jun 26, 2014",N/A,N/A (N/A/78%),"500,000 .. 1,000,000",00:00 (00:00),"Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)"
54,Descenders,"May 7, 2019",$24.99,N/A (N/A/78%),"200,000 .. 500,000",00:00 (00:00),RageSquid,No More Robots
55,DiRT 4,"Jun 9, 2017",$14.99,N/A (N/A/78%),"500,000 .. 1,000,000",00:05 (00:01),"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux), Electronic Arts"
56,Cross Racing Championship Extreme,"Sep 18, 2018",$14.99,N/A (N/A/77%),"0 .. 20,000",00:00 (00:00),Invictus Games Ltd.,Invictus Games Ltd.
57,WRC 8 FIA World Rally Championship,"Sep 8, 2020",$39.99,N/A (N/A/77%),"20,000 .. 50,000",00:00 (00:00),KT Racing,Nacon
58,PGA TOUR 2K21,"Aug 20, 2020",$59.99,N/A (N/A/77%),"200,000 .. 500,000",00:13 (00:08),HB Studios Multimedia Ltd.,2K
59,TrackMania² Stadium,"Feb 27, 2013",$9.99,N/A (N/A/77%),"500,000 .. 1,000,000",00:00 (00:00),Nadeo,Ubisoft
60,Assetto Corsa Competizione,"May 29, 2019",$39.99,N/A (N/A/77%),"500,000 .. 1,000,000",03:18 (02:11),Kunos Simulazioni,505 Games
61,MotoGP14,"Jun 20, 2014",$1.49,N/A (N/A/76%),"20,000 .. 50,000",00:00 (00:00),Milestone S.r.l.,"Plug In Digital, Milestone S.r.l."
62,Horizon Chase Turbo,"May 15, 2018",$19.99,N/A (N/A/76%),"100,000 .. 200,000",00:00 (00:00),Aquiris Game Studio,Aquiris Game Studio
63,Blood Bowl 2,"Sep 22, 2015",$19.99,N/A (N/A/76%),"1,000,000 .. 2,000,000",00:00 (00:00),Cyanide Studios,Cyanide Studios
64,NBA 2K19,"Sep 10, 2018",$59.99,N/A (N/A/76%),"1,000,000 .. 2,000,000",01:14 (00:24),Visual Concepts,2K
